date,transactions
2025-06-01,7490
2025-06-02,3316
2025-06-03,3905
2025-06-04,4027
2025-06-05,3866
2025-06-06,7759
2025-06-07,2620
2025-06-08,2580
2025-06-09,3395
2025-06-10,3900
2025-06-11,3997
2025-06-12,3816
2025-06-13,7936
2025-06-14,2590
2025-06-15,2604
2025-06-16,3428
2025-06-17,3898
2025-06-18,3981
2025-06-19,3895
2025-06-20,7854
2025-06-21,2497
2025-06-22,2593
2025-06-23,3443
2025-06-24,3830
2025-06-25,4051
2025-06-26,3829
2025-06-27,7902
2025-06-28,2495
2025-06-29,2577
2025-06-30,14162
2025-07-01,8421
2025-07-02,3925
2025-07-03,3809
2025-07-04,7687
2025-07-05,2516
2025-07-06,2454
2025-07-07,3387
2025-07-08,3796
2025-07-09,3942
2025-07-10,3821
2025-07-11,7861
2025-07-12,2471
2025-07-13,2580
2025-07-14,3356
2025-07-15,3896
2025-07-16,3960
2025-07-17,3814
2025-07-18,7795
2025-07-19,2561
2025-07-20,2530
2025-07-21,3418
2025-07-22,3850
2025-07-23,3968
2025-07-24,3754
2025-07-25,7857
2025-07-26,2538
2025-07-27,2435
2025-07-28,3379
2025-07-29,3871
2025-07-30,3953
2025-07-31,13421
2025-08-01,12363
2025-08-02,2503
2025-08-03,2552
2025-08-04,3381
2025-08-05,3842
2025-08-06,3930
2025-08-07,3742
2025-08-08,7803
2025-08-09,2469
2025-08-10,2590
2025-08-11,3428
2025-08-12,3854
2025-08-13,4017
2025-08-14,3823
2025-08-15,7769
2025-08-16,2504
2025-08-17,2486
2025-08-18,3406
2025-08-19,3784
2025-08-20,3955
2025-08-21,3808
2025-08-22,7839
2025-08-23,2550
2025-08-24,2539
2025-08-25,3349
2025-08-26,3805
2025-08-27,3918
2025-08-28,3817
2025-08-29,8180
2025-08-30,2517
2025-08-31,11599
2025-09-01,8322
2025-09-02,3818
2025-09-03,3922
2025-09-04,3841
2025-09-05,7899
2025-09-06,2460
2025-09-07,2523
2025-09-08,3321
2025-09-09,3835
2025-09-10,4006
2025-09-11,3826
2025-09-12,7696
2025-09-13,2627
2025-09-14,2484
2025-09-15,3408
2025-09-16,3852
2025-09-17,3912
2025-09-18,3802
2025-09-19,7760
2025-09-20,2527
2025-09-21,2532
2025-09-22,3344
2025-09-23,3815
2025-09-24,3941
2025-09-25,3808
2025-09-26,7737
2025-09-27,2459
2025-09-28,2480
2025-09-29,3422
2025-09-30,14535
