week,transactions
2025-05-26/2025-06-01,7490
2025-06-02/2025-06-08,28073
2025-06-09/2025-06-15,28238
2025-06-16/2025-06-22,28146
2025-06-23/2025-06-29,28127
2025-06-30/2025-07-06,42974
2025-07-07/2025-07-13,27858
2025-07-14/2025-07-20,27912
2025-07-21/2025-07-27,27820
2025-07-28/2025-08-03,42042
2025-08-04/2025-08-10,27757
2025-08-11/2025-08-17,27881
2025-08-18/2025-08-24,27881
2025-08-25/2025-08-31,37185
2025-09-01/2025-09-07,32785
2025-09-08/2025-09-14,27795
2025-09-15/2025-09-21,27793
2025-09-22/2025-09-28,27584
2025-09-29/2025-10-05,17957
