check,file,status,value,detail
core file exists,training/JPMorgan_Chase/transactions.csv.gz,PASS,True,
core file exists,training/JPMorgan_Chase/ground_truth.csv.gz,PASS,True,
core file exists,training/JPMorgan_Chase/edge_list.csv.gz,PASS,True,
core file exists,training/JPMorgan_Chase/node_map.csv.gz,PASS,True,
core file exists,training/JPMorgan_Chase/node_features.csv.gz,PASS,True,
row count,training/JPMorgan_Chase/transactions.csv.gz,PASS,126423,
duplicate rows,training/JPMorgan_Chase/transactions.csv.gz,PASS,0,
missing values by column,training/JPMorgan_Chase/transactions.csv.gz::txn_id,PASS,0,
missing values by column,training/JPMorgan_Chase/transactions.csv.gz::timestamp,PASS,0,
missing values by column,training/JPMorgan_Chase/transactions.csv.gz::Transaction_Date,PASS,0,
missing values by column,training/JPMorgan_Chase/transactions.csv.gz::Transaction_Time,PASS,0,
missing values by column,training/JPMorgan_Chase/transactions.csv.gz::src_id,PASS,0,
missing values by column,training/JPMorgan_Chase/transactions.csv.gz::dst_id,PASS,0,
missing values by column,training/JPMorgan_Chase/transactions.csv.gz::src_bank_id,PASS,0,
missing values by column,training/JPMorgan_Chase/transactions.csv.gz::dst_bank_id,PASS,0,
missing values by column,training/JPMorgan_Chase/transactions.csv.gz::Transaction_Day_of_Week,PASS,0,
missing values by column,training/JPMorgan_Chase/transactions.csv.gz::amount,PASS,0,
missing values by column,training/JPMorgan_Chase/transactions.csv.gz::currency,PASS,0,
missing values by column,training/JPMorgan_Chase/transactions.csv.gz::Amount_Received,PASS,0,
missing values by column,training/JPMorgan_Chase/transactions.csv.gz::Receiving_Currency,PASS,0,
missing values by column,training/JPMorgan_Chase/transactions.csv.gz::payment_format,PASS,0,
missing values by column,training/JPMorgan_Chase/transactions.csv.gz::From_Initial_Balance,PASS,0,
missing values by column,training/JPMorgan_Chase/transactions.csv.gz::To_Initial_Balance,PASS,0,
missing values by column,training/JPMorgan_Chase/transactions.csv.gz::Sufficient_Funds,PASS,0,
missing values by column,training/JPMorgan_Chase/transactions.csv.gz::Overdraft_Okay,PASS,0,
missing values by column,training/JPMorgan_Chase/transactions.csv.gz::Is_All_Cash,PASS,0,
missing values by column,training/JPMorgan_Chase/transactions.csv.gz::Is_Hold,PASS,0,
missing values by column,training/JPMorgan_Chase/transactions.csv.gz::transaction_type_model_safe,PASS,0,
missing values by column,training/JPMorgan_Chase/transactions.csv.gz::src_prev_txn_count,PASS,0,
missing values by column,training/JPMorgan_Chase/transactions.csv.gz::src_prev_amount_sum,PASS,0,
missing values by column,training/JPMorgan_Chase/transactions.csv.gz::src_prev_amount_mean,PASS,0,
missing values by column,training/JPMorgan_Chase/transactions.csv.gz::dst_prev_txn_count,PASS,0,
