date,positive_labels
2025-06-01,9
2025-06-02,11
2025-06-03,10
2025-06-04,4
2025-06-05,3
2025-06-06,9
2025-06-07,6
2025-06-08,5
2025-06-09,9
2025-06-10,4
2025-06-11,3
2025-06-12,1
2025-06-13,7
2025-06-14,8
2025-06-15,7
2025-06-16,8
2025-06-17,2
2025-06-18,5
2025-06-19,3
2025-06-20,7
2025-06-21,4
2025-06-22,5
2025-06-23,4
2025-06-24,3
2025-06-25,5
2025-06-26,8
2025-06-27,8
2025-06-28,4
2025-06-29,5
2025-06-30,4
2025-07-01,8
2025-07-02,6
2025-07-03,5
2025-07-04,3
2025-07-05,2
2025-07-06,3
2025-07-07,4
2025-07-08,4
2025-07-09,3
2025-07-10,5
2025-07-11,8
2025-07-12,7
2025-07-13,6
2025-07-14,9
2025-07-15,16
2025-07-16,10
2025-07-17,12
2025-07-18,10
2025-07-19,14
2025-07-20,9
2025-07-21,19
2025-07-22,6
2025-07-23,8
2025-07-24,14
2025-07-25,8
2025-07-26,6
2025-07-27,5
2025-07-28,5
2025-07-29,9
2025-07-30,7
2025-07-31,5
2025-08-01,4
2025-08-02,2
2025-08-03,4
2025-08-04,1
2025-08-05,3
2025-08-06,1
2025-08-07,2
2025-08-08,2
2025-08-09,5
2025-08-10,3
2025-08-11,1
2025-08-12,0
2025-08-13,4
2025-08-14,2
2025-08-15,3
2025-08-16,6
2025-08-17,3
2025-08-18,6
2025-08-19,4
2025-08-20,5
2025-08-21,6
2025-08-22,2
2025-08-23,5
2025-08-24,5
2025-08-25,7
2025-08-26,5
2025-08-27,6
2025-08-28,6
2025-08-29,8
2025-08-30,4
2025-08-31,10
2025-09-01,6
2025-09-02,5
2025-09-03,5
2025-09-04,2
2025-09-05,2
2025-09-06,3
2025-09-07,5
2025-09-08,6
2025-09-09,5
2025-09-10,7
2025-09-11,6
2025-09-12,4
2025-09-13,2
2025-09-14,3
2025-09-15,3
2025-09-16,3
2025-09-17,5
2025-09-18,8
2025-09-19,2
2025-09-20,4
2025-09-21,2
2025-09-22,4
2025-09-23,2
2025-09-24,6
2025-09-25,4
2025-09-26,4
2025-09-27,2
2025-09-28,6
2025-09-29,7
2025-09-30,9
