split,bank,transactions,positives,fraud_rate,amount_mean,amount_median
testing,Citi,18192,18,0.0009894459102902375,4877.6953611477575,141.315
testing,Fifth_Third_Bancorp,17262,26,0.0015061985864905573,6711.97644652995,129.34
testing,JPMorgan_Chase,62302,19,0.00030496613270842026,3616.6856775063397,117.93
testing,Key_Bank,11194,45,0.004020010720028586,3189.028332142219,134.64
testing,Wells_Fargo,24964,24,0.0009613843935266784,2911.882397051754,135.285
training,Citi,37316,81,0.002170650659234645,4169.398544324151,138.9
training,Fifth_Third_Bancorp,34765,81,0.0023299295268229543,5169.983229109737,123.31
training,JPMorgan_Chase,126423,65,0.00051414695110858,3561.8795273803025,118.11
training,Key_Bank,22412,100,0.004461895413171516,3112.690494378012,127.5
training,Wells_Fargo,50346,80,0.001589004091685536,2988.5164092480036,133.34
validation,Citi,18836,30,0.0015926948396687195,3678.6863713102566,137.82
validation,Fifth_Third_Bancorp,17789,36,0.0020237225251559954,6456.466833998538,122.0
validation,JPMorgan_Chase,64487,16,0.0002481120225781941,3338.407353885279,114.94
validation,Key_Bank,11418,21,0.0018392012611665792,3022.4709099667193,121.805
validation,Wells_Fargo,25592,22,0.0008596436386370741,2995.307725851829,130.95
