value,transactions
Accounts Receivable,276523
Accounts Payable,249713
Bank Interest,1553
Salary,1522
Lunch,1153
Morning Coffee,1032
Sensitive_Type_Redacted,781
Gasoline,684
Buy Securities,624
Dinner,586
Household,547
Taxi / Uber / Lyft,512
P2P Dining,483
Breakfast,475
Groceries,434
Newspaper,432
Prepaid Card Refill,405
Music Streaming and Downloads,386
Maintain Account Balance,382
Pay Credit Card Bill,364
ATM Withdrawal,345
Forced Savings,340
Bar,299
Release of Hold,269
Oil Change,253
Vending Machine,220
Alcohol,191
IRA Contribution,182
Tobacco,160
Shipping,139
Mortgage Payment,123
Clothing,103
Smartphone Games,93
Hotel,89
Online Ad,85
Get Higher Interest,84
Grooming,83
Movie Theater,83
Cleaning Supplies,76
Dental Supplies,72
Dividend Payment,69
Shoes,68
Lottery,68
Barber,67
Carwash,63
Office Supplies,62
Pet Supplies,59
Home Improvement,57
Digital TV Content like Netflix,57
Rental Car,54
Cosmetics,50
Rent Payment,47
Card,47
Medicine,41
Cover Expenses,36
Electric Vehicle Charging,36
P2P Rideshare,34
Magazine / Newspaper subscriptions,33
Snack,27
Gardening,27
Healthcare,26
Jewelry,21
Dentist,18
Drycleaning,17
Towels,16
Domestic Air Travel,16
EZPass Tolling,16
Garbage Bill,16
Novelties,15
Contacts,14
Landscaping,13
Flowers,13
Gambling,13
Cellphone Bill,12
401k Withdrawal,12
Bedding,11
Concert,10
Paint,9
Medical Fees,9
Gift Card,9
Cable Bill,8
Dental Fees,8
Theatrical Theatre,7
Landline Bill,7
Electronics,7
Auto Repair,6
Subscriptions to Periodicals,6
P2P Streaming,6
Bank Fee,6
Glasses,5
Electric Bill,5
Watch,5
P2P Event Tickets,5
Tools,4
Furniture,4
Silverware,4
Water Bill,4
Legal Services,4
Accounting,4
Amusement Park,3
Foreign Air Travel,3
Artwork,3
Other Loan Payment,2
Vehicle Insurance Bill,2
Home Insurance Bill,2
Antiques,2
Life Insurance Bill,2
P2P Appliance Cost,1
Plumbing Services,1
Bus Travel,1
Train Travel,1
Dishes,1
Beds,1
