split,bank,rows,positive_labels,fraud_rate,nodes,edges,timestamp_min,timestamp_max
training,JPMorgan_Chase,126423,65,0.00051414695110858,24906,126423,2025-06-01 00:00:24.500000,2025-07-31 23:59:35
training,Wells_Fargo,50346,80,0.001589004091685536,11292,50346,2025-06-01 00:00:14.900000,2025-07-31 23:58:45.200000
training,Citi,37316,81,0.002170650659234645,8742,37316,2025-06-01 00:02:12.200000,2025-07-31 23:59:41.400000
training,Fifth_Third_Bancorp,34765,81,0.0023299295268229543,7914,34765,2025-06-01 00:04:44.500000,2025-07-31 23:59:41.700000
training,Key_Bank,22412,100,0.004461895413171516,5314,22412,2025-06-01 00:03:00.300000,2025-07-31 23:58:45.800000
validation,JPMorgan_Chase,64487,16,0.0002481120225781941,22600,64487,2025-08-01 00:00:08.700000,2025-08-31 23:59:50.800000
validation,Wells_Fargo,25592,22,0.0008596436386370741,10218,25592,2025-08-01 00:03:20.100000,2025-08-31 23:59:33.700000
validation,Citi,18836,30,0.0015926948396687195,7825,18836,2025-08-01 00:00:09,2025-08-31 23:59:59.400000
validation,Fifth_Third_Bancorp,17789,36,0.0020237225251559954,6989,17789,2025-08-01 00:00:13.100000,2025-08-31 23:59:30.300000
validation,Key_Bank,11418,21,0.0018392012611665792,4756,11418,2025-08-01 00:01:44.200000,2025-08-31 23:59:59
testing,JPMorgan_Chase,62302,19,0.00030496613270842026,23124,62302,2025-09-01 00:00:03.400000,2025-09-30 23:59:45.500000
testing,Wells_Fargo,24964,24,0.0009613843935266784,10460,24964,2025-09-01 00:02:18.900000,2025-09-30 23:59:45.300000
testing,Citi,18192,18,0.0009894459102902375,7976,18192,2025-09-01 00:00:03,2025-09-30 23:58:53.500000
testing,Fifth_Third_Bancorp,17262,26,0.0015061985864905573,7266,17262,2025-09-01 00:06:00.400000,2025-09-30 23:59:32.400000
testing,Key_Bank,11194,45,0.004020010720028586,4868,11194,2025-09-01 00:01:56.200000,2025-09-30 23:57:48
